序号,网站标识码,网站名称,首页网址,网站主管单位,网站状态
1,bm01000001,中国政府网,http://www.gov.cn/,中国政府网运行中心,正常
2,bm02000004,外交部网站,http://www.fmprc.gov.cn/;http://www.mfa.gov.cn/,外交部办公厅,正常
3,bm02000008,中国领事服务网,http://cs.mfa.gov.cn/,中华人民共和国外交部领事司,正常
4,bm04000007,国家发展改革委门户网站,http://www.ndrc.gov.cn,国家发展改革委办公厅,正常
5,bm04000008,全国公共资源交易平台,http://www.ggzy.gov.cn/,国家发展和改革委员会办公厅,正常
6,bm04000009,信用中国,http://www.creditchina.gov.cn/,国家公共信用信息中心,正常
7,bm04000010,全国投资项目在线审批监管平台互联网网站,http://www.tzxm.gov.cn,国家发展改革委,正常
8,bm05000001,教育部政府门户网站,http://www.moe.gov.cn,教育部办公厅,正常
9,bm05000002,教育部中国大学生在线,https://dxs.moe.gov.cn,教育部思想政治工作司,正常
10,bm05000005,中华人民共和国教育部教育涉外监管信息网,http://jsj.moe.gov.cn/,教育部国际合作与交流司（港澳台事务办公室）,正常
11,bm05000011,教育部全国青少年普法网,http://qspfw.moe.gov.cn/index.html,教育部政策法规司,正常
12,bm06000001,中华人民共和国科学技术部,http://www.most.gov.cn/,科技部办公厅,正常
13,bm06000003,中国国际科技合作网,http://www.cistc.gov.cn,科技部国际合作司,正常
14,bm06000004,中国科普网,http://www.kepu.gov.cn,中华人民共和国科学技术部科技人才与科学普及司,正常
15,bm06000005,国家科学技术奖励工作办公室,https://www.nosta.gov.cn,国家科学技术奖励工作办公室,正常
16,bm07000001,中华人民共和国工业和信息化部网站,https://www.miit.gov.cn,工业和信息化部,正常
17,bm07010001,北京市通信管理局,https://bjca.miit.gov.cn/,北京市通信管理局,正常
18,bm07020001,天津市通信管理局,http://tjca.miit.gov.cn/,天津市通信管理局,正常
19,bm07030001,河北省通信管理局门户网站,http://hbca.miit.gov.cn,河北省通信管理局,正常
20,bm07040001,山西省通信管理局,https://sxca.miit.gov.cn/,山西省通信管理局,正常
21,bm07050001,内蒙古自治区通信管理局门户网站,nmca.miit.gov.cn,内蒙古自治区通信管理局,正常
22,bm07060001,辽宁省通信管理局,http://lnca.miit.gov.cn/,工业和信息化部,正常
23,bm07070001,吉林省通信管理局,http://jlca.miit.gov.cn,吉林省通信管理局,正常
24,bm07080001,黑龙江省通信管理局官网,http://hljca.miit.gov.cn/,黑龙江省通信管理局,正常
25,bm07090001,上海市通信管理局官网,https://shca.miit.gov.cn/,上海市通信管理局,正常
